"English Name","FCI Breed Group","AKC Breed Group","Czech Name","German Name","Hungarian Name","Japanese Name","Polish Name","Turkish Name"
"West Highland White Terrier","Group 3: Terriers","Terrier Group","West Highland White Terrier","West Highland White Terrier","Nyugat-hegyvidéki fehér terrier","ウエストハイランドホワイトテリア","West Highland White Terrier","Batı Highland Beyaz Teriyeri"
"West Siberian Laika",NA,NA,"Západosibiřská lajka","Westsibirische Laika","Nyugat-szibériai lajka","ウエストシベリアンライカ","Łajka zachodniosyberyjska","Batı Sibirya Laikası"
"Westphalian Dachsbracke","Group 6: Scent hounds and related breeds",NA,"Westfálský jezevčákovitý honič","Westfälische Dachsbracke","Vesztfáliai tacskókopó","ヴェストファーレン州ダックスブラッケ","Westfalski gończy krótkonożny","Westphalian Dachsbracke"
"Whippet","Group 10: Sighthounds","Hound Group","Vipet","Whippet","Kis angol agár","ウィペット","Whippet","Whippet"
"White Shepherd",NA,NA,"Bílý Švýcarský ovčák","Weißer Schäferhund","Fehér Juhász","ホワイトシェパード","Biały owczarek","Beyaz Çoban"
"Wire Fox Terrier","Group 3: Terriers","Terrier Group","Foxterier drsnosrstý","Drahthaar-Foxterrier","Drótvázas foxterrier","ワイヤーフォックステリア","Wire Fox Terrier","Tel Tilki Teriyeri"
"Wirehaired Pointing Griffon","Group 7: Pointing Dogs","Sporting Group","Wirehaired Pointing Griffon","Drahthaariger Vorstehhund","Drótszőrű Griffon","ワイヤーヘアード・ポインティング・グリフォン","Wirehaired Pointing Griffon","Tel Tüylü İşaretçi Griffon"
"Wirehaired Vizsla",NA,"Sporting Group","Maďarský ohař - drátosrstý","Drahthaariger Vizsla","Drótszőrű vizsla","ワイヤーヘアード・ヴィズラ","Wirehaired Vizsla","Tel Tüylü Vizsla"
"Working Kelpie",NA,"Foundation Stock Services","Kelpie - pracovní linie","Arbeitender Kelpie","Dolgozó kelpie","ワーキングケルピー","Pracujący Kelpie","Çalışan Kelpie"
"Xoloitzcuintli (Miniature)","Group 5: Spitz and primitive types",NA,"Mexický naháč (střední)","Xoloitzcuintli (Miniatur)","Xoloitzcuintli (miniatűr)","メキシカン・ヘアレス・ドッグ（ミニチュア）","Xoloitzcuintli (Miniatura)","Xoloitzcuintli (Minyatür)"
"Xoloitzcuintli (Standard)","Group 5: Spitz and primitive types","Non-Sporting Group","Mexický naháč","Xoloitzcuintli (Standard)","Xoloitzcuintli (Standard)","メキシカン・ヘアレス・ドッグ（スタンダード）","Xoloitzcuintli (Standard)","Xoloitzcuintli (Standart)"
"Xoloitzcuintli (Toy)","Group 5: Spitz and primitive types",NA,"Mexický naháč (toy)","Xoloitzcuintli (Spielzeug)","Xoloitzcuintli (játék)","メキシカン・ヘアレス・ドッグ（トイ）","Xoloitzcuintli (Toy)","Xoloitzcuintli (Oyuncak)"
"Yorkshire Terrier","Group 3: Terriers","Toy Group","Yorkšírský terier","Yorkshire Terrier","Yorkshire terrier","ヨークシャーテリア","Yorkshire Terrier","Yorkshire Teriyeri"
"Český Fousek",NA,NA,"Český fousek","Český Fousek","Český Fousek","チェスキー・フォーセク","Czeski Fousek","Český Fousek"
